ID,Name,URL,Specialty,Location,Hospital,Biography
52,"Sean C. Patterson, MD",https://www.ynhhs.org/physicians/sean-c-patterson,Psychiatry,New Haven,YALE,"Sean Patterson, MD, is a psychiatrist who specializes in inpatient care and woks at Yale New Haven Psychiatric Hospital in the adult mood disorders unit. He is also an assistant professor of psychiatry at Yale School of Medicine and works with resident education. “My clinical focus is on helping people who are in an immediate, acute crisis. I work to maintain safety, optimize psychiatric medications, clarify diagnostic questions, and provide psychoeducation and brief therapy to patients and family members,” Dr. Patterson says.   Dr. Patterson treats patients with a broad spectrum of mental health concerns including depression, bipolar disorder, schizophrenia, catatonia, and those utilizing interventional services such as electroconvulsive therapy (ECT) and ketamine. He works with a treatment team of social workers, pharmacists, nurses, mental health workers, and medical trainees. Being hospitalized for a mental health crisis is not easy for patients or their loved ones. Acknowledging that patients are more than how they present to the hospital is an important part of understanding what is best for their care. Dr. Patterson works to integrate each person's long-term goals into their treatment plan and disposition.   Dr. Patterson is active in advocacy work, particularly around topics of mental illness and LGBTQ+ legislation. He works to understand how recent policy changes can affect health outcomes and access to resources for his patients. He also uses journalism as a tool to advocate for LGBTQ+ populations."
53,"Cenk Tek, MD",https://www.ynhhs.org/physicians/cenk-tek,Psychiatry,New Haven,YALE,"No biography provided. Are you Cenk Tek, MD? Update your profile"
54,"Carolyn Turek, PhD",https://www.ynhhs.org/physicians/carolyn-turek,Psychiatry,New Haven,YALE,Dr. Turek holds a PhD in Clinical Child Psychology. She is a licensed pediatric psychologist who specializes in treating youth and families managing chronic illnesses. Dr. Turek has special expertise and interest in working with youth diagnosed with diabetes and youth diagnosed with cancer.
55,"Ruby Lekwauwa, MD",https://www.ynhhs.org/physicians/ruby-lekwauwa,Psychiatry,"Bridgeport, New Haven",YALE,"No biography provided. Are you Ruby Lekwauwa, MD? Update your profile"
56,"Nuzhat Hussain, MD",https://www.ynhhs.org/physicians/nuzhat-hussain,Psychiatry,New Haven,YALE,"No biography provided. Are you Nuzhat Hussain, MD? Update your profile"
57,"Hun Millard, MD",https://www.ynhhs.org/physicians/hun-millard,Psychiatry,New Haven,YALE,"No biography provided. Are you Hun Millard, MD? Update your profile"
58,"Rajiv Radhakrishnan, MD",https://www.ynhhs.org/physicians/rajiv-radhakrishnan,Psychiatry,New Haven,YALE,"No biography provided. Are you Rajiv Radhakrishnan, MD? Update your profile"
59,"Yun Feng, MD",https://www.ynhhs.org/physicians/yun-feng,Psychiatry,New Haven,YALE,"No biography provided. Are you Yun Feng, MD? Update your profile"
60,"Vinod Srihari, MD",https://www.ynhhs.org/physicians/vinod-srihari,Psychiatry,New Haven,YALE,"No biography provided. Are you Vinod Srihari, MD? Update your profile"
61,"Maya Prabhu, MD",https://www.ynhhs.org/physicians/maya-prabhu,Psychiatry,New Haven,YALE,"No biography provided. Are you Maya Prabhu, MD? Update your profile"
62,"Nora Proops, MD",https://www.ynhhs.org/physicians/nora-proops,Psychiatry,"Hamden, New Haven",YALE,"No biography provided. Are you Nora Proops, MD? Update your profile"
63,"Robert Ostroff, MD",https://www.ynhhs.org/physicians/robert-ostroff,Psychiatry,Hamden,YALE,"No biography provided. Are you Robert Ostroff, MD? Update your profile"
64,"Rabin Dahal, MD",https://www.ynhhs.org/physicians/rabin-dahal ,Psychiatry,"North Haven, New Haven",YALE,"No biography provided. Are you Rabin Dahal, MD? Update your profile"
65,"Samuel A. Ball, MD",https://www.ynhhs.org/physicians/samuel-a-ball,Psychiatry,New Haven,YALE,"No biography provided. Are you Samuel A. Ball, MD? Update your profile"
66,"Adrienne Hicks, MD, PhD",https://www.ynhhs.org/physicians/adrienne-hicks,Psychiatry,New Haven,YALE,"No biography provided. Are you Adrienne Hicks, MD, PhD? Update your profile"
67,"Srinivas Muvvala, MD, MPH",https://www.ynhhs.org/physicians/srinivas-muvvala,Psychiatry,New Haven,YALE,"No biography provided. Are you Srinivas Muvvala, MD, MPH? Update your profile"
68,"Cynthia N. Wilson, MD",https://www.ynhhs.org/physicians/cynthia-n-wilson,Psychiatry,New Haven,YALE,"No biography provided. Are you Cynthia N. Wilson, MD? Update your profile"
69,"Rachel B. Katz, MD",https://www.ynhhs.org/physicians/rachel-b-katz,Psychiatry,New Haven,YALE,"No biography provided. Are you Rachel B. Katz, MD? Update your profile"
70,"David H. Klemanski, PsyD",https://www.ynhhs.org/physicians/david-h-klemanski,Psychiatry,New Haven,YALE,"No biography provided. Are you David H. Klemanski, PsyD? Update your profile"
71,"Katherine E. Klingensmith, MD",https://www.ynhhs.org/physicians/katherine-e-klingensmith,Psychiatry,New Haven,YALE,"No biography provided. Are you Katherine E. Klingensmith, MD? Update your profile"
72,"Jessica E. Zoltani, MD",https://www.ynhhs.org/physicians/jessica-e-zoltani,Psychiatry,New Haven,YALE,"No biography provided. Are you Jessica E. Zoltani, MD? Update your profile"
73,"Howard V. Zonana, MD",https://www.ynhhs.org/physicians/howard-v-zonana,Psychiatry,New Haven,YALE,"No biography provided. Are you Howard V. Zonana, MD? Update your profile"
74,"Timothy Van Deusen, MD",https://www.ynhhs.org/physicians/timothy-van-deusen,Psychiatry,West Haven,YALE,"No biography provided. Are you Timothy Van Deusen, MD? Update your profile"
75,"Michael B. Vollmar, MD",https://www.ynhhs.org/physicians/michael-b-vollmar,Psychiatry,Hamden,YALE,"No biography provided. Are you Michael B. Vollmar, MD? Update your profile"
76,"Ali Abbas Rashid, MD",https://www.ynhhs.org/physicians/ali-abbas-rashid,Psychiatry,New Haven,YALE,"No biography provided. Are you Ali Abbas Rashid, MD? Update your profile"
77,"Jeanne L. Steiner, DO",https://www.ynhhs.org/physicians/jeanne-l-steiner,Psychiatry,New Haven,YALE,"No biography provided. Are you Jeanne L. Steiner, DO? Update your profile"
78,"Pamela Petersen-Crair, MD",https://www.ynhhs.org/physicians/pamela-petersen_crair,Psychiatry,New Haven,YALE,"No biography provided. Are you Pamela Petersen-Crair, MD? Update your profile"
79,"Kyung-Heup Ahn, MD",https://www.ynhhs.org/physicians/kyung_heup-ahn,Psychiatry,New Haven,YALE,"No biography provided. Are you Kyung-Heup Ahn, MD? Update your profile"
80,"Ebony M. Dix, MD",https://www.ynhhs.org/physicians/ebony-m-dix,Psychiatry,New Haven,YALE,"No biography provided. Are you Ebony M. Dix, MD? Update your profile"
81,"Freja Burger, APRN",https://www.ynhhs.org/physicians/freja-burger,Psychiatry,Westerly,YALE,"No biography provided. Are you Freja Burger, APRN? Update your profile"
82,"Dale D. Sebastian, MD, M.B.B.S.",https://www.ynhhs.org/physicians/dale-d-sebastian,Psychiatry,New Haven,YALE,"No biography provided. Are you Dale D. Sebastian, MD, M.B.B.S.? Update your profile"
83,"Zachary M. Harvanek, MD, PhD",https://www.ynhhs.org/physicians/zachary-m-harvanek,Psychiatry,New Haven,YALE,"No biography provided. Are you Zachary M. Harvanek, MD, PhD? Update your profile"
84,"Rebecca Kamody, PhD",https://www.ynhhs.org/physicians/rebecca-kamody,Child & Adolescent Psychiatry,New Haven,YALE,"No biography provided. Are you Rebecca Kamody, PhD? Update your profile"
85,"Lara G. Chepenik, MD, PhD",https://www.ynhhs.org/physicians/lara-g-chepenik,Psychiatry,New Haven,YALE,"No biography provided. Are you Lara G. Chepenik, MD, PhD? Update your profile"
86,"Mario A. Caro Sabogal, MD",https://www.ynhhs.org/physicians/mario-a-caro-sabogal,Psychiatry,"North Haven, New Haven",YALE,"No biography provided. Are you Mario A. Caro Sabogal, MD? Update your profile"
87,"Joao P. De Aquino, MD",https://www.ynhhs.org/physicians/joao-p-de-aquino,Psychiatry,W Haven,YALE,"No biography provided. Are you Joao P. De Aquino, MD? Update your profile"
88,"Paul H. Desan, MD, PhD",https://www.ynhhs.org/physicians/paul-h-desan,Psychiatry,New Haven,YALE,"No biography provided. Are you Paul H. Desan, MD, PhD? Update your profile"
89,"Susan Grillo, APRN",https://www.ynhhs.org/physicians/susan-grillo,Psychiatry,New London,YALE,"No biography provided. Are you Susan Grillo, APRN? Update your profile"
90,"Gerard Sanacora, MD, PhD",https://www.ynhhs.org/physicians/gerard-sanacora,Psychiatry,New Haven,YALE,"Dr. Sanacora is a Professor of Psychiatry at Yale University and the Director of the Yale Depression Research Program. Dr. Sanacora’s work has focused largely on elucidating the pathophysiological mechanisms associated with mood and other neuropsychiatric disorders and using this information to inform the development of novel treatment strategies. His preclinical research laboratory explores the effects of stress and pharmaceutical agents on cellular biology, neurophysiology and behavior. His clinical laboratory employs novel imaging methodologies to investigate the pathophysiology of mood and other neuropsychiatric disorders. In addition, he has served as principal investigator on several large clinical trials investigating the efficacy and safety of newly developed therapeutic agents for the treatment of mood disorders. Dr. Sanacora received the Anna-Monkia Stiftung international award for the investigation of the biological substrate and functional disturbances of depression in 2009, the Joel Elkes Research Award for Outstanding contributions to Psychopharmacology from the American College of Neuropsychopharmacology (ACNP) in 2011, and is a Fellow of the ACNP."
91,"Carla S. Stover, MD",https://www.ynhhs.org/physicians/carla-s-stover,Child & Adolescent Psychiatry,New Haven,YALE,"Carla Smith Stover, PhD, is a mental health specialist focusing on anxiety, adjustment disorder, acute stress disorder, and post-traumatic stress disorder (PTSD). She offers solution-focused brief therapy and emotionally focused therapy, including counseling for individuals dealing with grief, loss, and bereavement.  Stover's research explores intimate partner violence, father-child interactions, and trauma and adverse childhood experiences. Her work highlights the effects of negative experiences on children's health and well-being, and the potential consequences of early life adversity on fathers' parenting abilities. She also investigates co-parenting interventions and family outcomes. In recognition of her work, Stover has received the Loan Repayment Award and Outstanding Faculty Research Achievement Award. Her research has received funding from the National Institute on Drug Abuse, the Eunice Kennedy Shriver National Institute of Child Health and Human Development, and the National Institute on Aging. Stover is a professor at the Yale Child Study Center."
92,"Paola C. Ayora, MD",https://www.ynhhs.org/physicians/paola-c-ayora,Child & Adolescent Psychiatry,New Haven,YALE,"No biography provided. Are you Paola C. Ayora, MD? Update your profile"
93,"Kammarauche N. Aneni, MD",https://www.ynhhs.org/physicians/kammarauche-n-aneni,Child & Adolescent Psychiatry,New Haven,YALE,"No biography provided. Are you Kammarauche N. Aneni, MD? Update your profile"
94,"Tzong-Yang A. Higgins-Chen, MD, PhD",https://www.ynhhs.org/physicians/tzong_yang-a-higgins_chen,Psychiatry,New Haven,YALE,"No biography provided. Are you Tzong-Yang A. Higgins-Chen, MD, PhD? Update your profile"
95,"Ellen J. Hoffman, MD, PhD",https://www.ynhhs.org/physicians/ellen-j-hoffman,Child & Adolescent Psychiatry,New Haven,YALE,"No biography provided. Are you Ellen J. Hoffman, MD, PhD? Update your profile"
96,"Youngsun T. Cho, MD, PhD",https://www.ynhhs.org/physicians/youngsun-t-cho,Child & Adolescent Psychiatry,New Haven,YALE,"No biography provided. Are you Youngsun T. Cho, MD, PhD? Update your profile"
97,"Laura M. Bracale, APRN",https://www.ynhhs.org/physicians/laura-m-bracale,Psychiatry,"Bridgeport, Trumbull, New Haven",YALE,"No biography provided. Are you Laura M. Bracale, APRN? Update your profile"
98,"Laurie Cardona-Wolenski, PsyD",https://www.ynhhs.org/physicians/laurie-cardona_wolenski,Child & Adolescent Psychiatry,New Haven,YALE,"Dr. Cardona is the Clinical Director of Ambulatory Pediatric Psychology at the Child Study Center, for which she directs program development initiatives with the aim of integrating behavioral health services across numerous pediatric specialty clinics within the Yale New Haven Health System. Dr. Cardona also conducts program development, training, and clinical supervision in her role as Associate Training Director for the Psychology Training Program of the Yale Child Study Center. Dr. Cardona serves as Co-Director of the Child Study Center Pediatric Consultation-Liaison Service, which offers a broad range of psychiatric services to children and adolescents who are under the care of the inpatient pediatric services of Yale New Haven Children's Hospital. Dr. Cardona is a clinical consultant to the Children's Psychiatric Day Hospital and she is a supervising psychologist for the Children’s Psychiatric Inpatient Service at YNHH, both of which serve children ages 4 to 13 with serious psychiatric, developmental and behavioral vulnerabilities."
99,"Yann B. Poncin, MD",https://www.ynhhs.org/physicians/yann-b-poncin,"Psychiatry, Child & Adolescent Psychiatry",New Haven,YALE,"Yann Poncin, MD, specializes in treating childhood disorders such as depression, suicidality, aggression, social anxiety, generalized anxiety disorder (GAD), panic disorder, and school avoidance. He works in the context of family systems and with high-intensity presentations. He is the vice chair of clinical affairs and quality & safety clinical affairs at the Yale Child Study Center.  Dr. Poncin believes that ""despite any difficulties in life, kids remain fun, too."" He enjoys working with systems involved in a child’s life, whether parents, families, community, or school. In addition to his clinical work, Dr. Poncin’s interests include in-home and community-based alternatives to care, schools, and policy and legislative advocacy. He is also actively involved in training of students, fellows, and other professionals. Dr. Poncin is an assistant professor of child psychiatry at Yale University School of Medicine."
100,"Lisa M. Fucito, PhD",https://www.ynhhs.org/physicians/lisa-m-fucito,Psychiatry,New Haven,YALE,"Lisa Fucito, PhD, director of the Tobacco Treatment Service at Smilow Cancer Hospital, helps patients quit or reduce cigarette smoking and their use of other tobacco and nicotine products such as e-cigarettes.
Fucito, a clinical psychologist, provides individual counseling tailored to a person’s circumstances. If they need to quit smoking for an upcoming surgery, she might meet with someone multiple times a week to help them quickly replace the ritual of lighting up at particular times with different habits. For another person uncertain about quitting smoking, she might focus counseling on increasing their motivation by emphasizing the benefits of smoking cessation at all ages. 
The Smilow service also provides prescriptions for nicotine-replacement therapies such as “the patch,” gum, lozenges, inhalers, and other FDA-approved medications such as varenicline (Chantix) and bupropion (Zyban). Additionally, patients are advised of potential tobacco harm reduction strategies such as switching to alternative tobacco products (e-cigarettes, oral nicotine products) in place of cigarettes.   
Prior to attending graduate school, Fucito worked in a psychiatric hospital helping people with alcohol and substance use disorders. “I noticed that many of these patients were smoking, but we were not addressing it,” she says. “I wanted to better understand this primary substance use disorder and help reduce the substantial public health burden of tobacco use.”
  
Fucito appreciates how hard it can be for people to change a lifelong habit like cigarette smoking, but that is also why she finds this work so rewarding. One woman who wanted to quit in advance of cancer treatment told Fucito that without her support, she would not have been able to stop smoking. “It is a tremendous privilege to help people change one of their most important health behaviors and change their health trajectory,” she says.
  
An associate professor of psychiatry at Yale School of Medicine, Fucito studies new treatment strategies to help people with their tobacco use including a pre-surgical intervention for patients with cancer and e-cigarette cessation. She is also interested in how technology (e.g., smartphones, biosensors, social media, electronic health records) can increase the reach and effectiveness of interventions and improve health outcomes across substance use disorders."
101,"Karen Manor, APRN",https://www.ynhhs.org/physicians/karen-manor,Psychiatry,New London,YALE,"No biography provided. Are you Karen Manor, APRN? Update your profile"
102,"Velma Campbell, APRN",https://www.ynhhs.org/physicians/velma-campbell,Psychiatry,Bridgeport,YALE,"No biography provided. Are you Velma Campbell, APRN? Update your profile"
103,"Andres S. Martin, MD, MPH",https://www.ynhhs.org/physicians/andres-s-martin,"Psychiatry, Child & Adolescent Psychiatry",New Haven,YALE,"No biography provided. Are you Andres S. Martin, MD, MPH? Update your profile"
104,"Amanda F. Lowell, PhD",https://www.ynhhs.org/physicians/amanda-f-lowell,Psychiatry,New Haven,YALE,"Amanda Lowell, PhD, is a licensed clinical psychologist and loves working with both children and their caregivers. 
""I love that the work I do impacts two generations: parent and child,"" she says. ""The positive growth and development a parent achieves in therapy has the potential to be passed down from generation to generation and improve the lives of others for years to come."" 
Lowell is trained to evaluate and treat emotional and behavioral difficulties in infants, toddlers, and preschoolers, as well as to support their caregivers and enhance parent-child relationships. She provides psychotherapy and parenting support to mothers and fathers with anxiety, depression, and post-traumatic stress disorder.
She particularly enjoys working with mothers who have experienced adversity or struggled with addiction. Lowell also conducts developmental evaluations and screens for delays in infants and toddlers who have graduated from the neonatal intensive care unit.
“My favorite part of my job is learning each individual caregiver's story. It is a privilege to learn about a person's family and why they think, feel, and respond in the ways that they do,” she says, adding that she often tells families that there is no such thing as “perfect” parenting. “I always assumed I would work with children, but in my training, I realized each child comes with a caregiver, and they often need support of their own. Standard mental health treatment often did not incorporate adults' roles as parents into their treatment. I see my job as helping to integrate a caregiver's experience as an individual and as a parent, and how this interplay can impact and support their mental health.”
An associate research scientist at the Yale Child Study Center, her research interests include understanding the impact of addiction, adversity, and attachment on the maternal brain, and the implementation of evidence-based parenting supports for mothers with addictions.
Lowell is actively involved in the training and supervision of therapists providing Mothering from the Inside Out, an evidence-based parenting support program designed specifically for mothers in recovery from substance use disorders. She is also passionate about reducing the stigma surrounding parents with substance use disorders."
105,"Lawrence A. Vitulano, PhD",https://www.ynhhs.org/physicians/lawrence-a-vitulano,Child & Adolescent Psychiatry,New Haven,YALE,"Lawrence A. Vitulano, PhD, is a clinical psychologist who treats children and adults at the Yale Child Study Center. He cares for patients with Tourette syndrome, obsessive-compulsive disorder (OCD), and attention deficit and hyperactivity disorder (ADHD). He also treats patients with mood disorders, including depression and anxiety disorders.  

“One of the most rewarding aspects of my job is helping patients get through problems they never thought they could overcome,” Dr. Vitulano says. “Very often people feel stuck and don’t see a way out.”
Dr. Vitulano cares for patients using evidence-based treatments that are backed by scientific studies. Some of the techniques he uses include cognitive behavior therapy (CBT), mindfulness practices, and executive function training.
“To reassure patients, I often tell them I’ve seen many other people with the same illness or disorder who are now doing quite well,” he says.
Dr. Vitulano has studied and published scientific articles in many areas of psychology, including anger management, behavioral interventions, group therapy, coping with chronic illness, hypnosis, and mindfulness. He also conducts research in sports psychology, which includes, among other things, how psychology influences athletic performance.  
He also provides executive coaching for individuals and large U.S. and global companies. His coaching focuses on improving a person’s emotional intelligence, which is the ability to recognize, control, and express one’s emotions and handle interpersonal relationships empathetically."
106,"Olaniyi O. Olayinka, MD",https://www.ynhhs.org/physicians/olaniyi-o-olayinka,Psychiatry,Bridgeport,YALE,Biography not found
107,"Thomas V. Fernandez, MD",https://www.ynhhs.org/physicians/thomas-v-fernandez,"Psychiatry, Child & Adolescent Psychiatry",New Haven,YALE,Biography not found
108,"Michael H. Bloch, MD, M.S.",https://www.ynhhs.org/physicians/michael-h-bloch,"Psychiatry, Child & Adolescent Psychiatry","New London, Milford, New Haven",YALE,Biography not found
109,"Ryan O'Dell, MD, PhD",https://www.ynhhs.org/physicians/ryan-o_dell,Psychiatry,New Haven,YALE,Biography not found
110,"Juan Carlos Cleves-Bayon, MD",https://www.ynhhs.org/physicians/juan-carlos-cleves_bayon,"Psychiatry, Psychiatry, Geriatric",New Haven,YALE,Biography not found
111,"Shanthi Mogali, MD",https://www.ynhhs.org/physicians/shanthi-mogali,"Addiction Psychiatry, Psychiatry","New London, Westerly",YALE,Biography not found
112,"Claudia Califano, MD",https://www.ynhhs.org/physicians/claudia-califano,"Psychiatry, Child & Adolescent Psychiatry",Guilford,YALE,Biography not found
113,"Eunice Y. Yuen, MD, PhD",https://www.ynhhs.org/physicians/eunice-y-yuen,"Psychiatry, Child & Adolescent Psychiatry","Branford, New Haven",YALE,Biography not found
114,"Linda C. Mayes, MD",https://www.ynhhs.org/physicians/linda-c-mayes,"Pediatrics, Pediatric Psychiatry",New Haven,YALE,Biography not found
115,"Lei Zou, MD",https://www.ynhhs.org/physicians/lei-zou,"Psychiatry, Child & Adolescent Psychiatry","Trumbull, New Haven",YALE,Biography not found
116,"Jeffrey S. Landau, MD",https://www.ynhhs.org/physicians/jeffrey-s-landau,"Addiction Psychiatry, Child & Adolescent Psychology","West Hartford, New Haven",YALE,Biography not found
117,"Ariadna Forray, MD",https://www.ynhhs.org/physicians/ariadna-forray,"Psychiatry, Addiction Medicine",New Haven,YALE,Biography not found
118,"Dana A. Cavallo, PhD",https://www.ynhhs.org/physicians/dana-a-cavallo,"Clinical Psychology, Internal Medicine",New Haven,YALE,Biography not found
119,"Pamela E. Hoffman, MD",https://www.ynhhs.org/physicians/pamela-e-hoffman,"Preventive Medicine, Psychiatry",New Haven,YALE,Biography not found
120,"Siddharth Khasnavis, MD",https://www.ynhhs.org/physicians/siddharth-khasnavis,"Psychiatry, Neurology","North Haven, New Haven",YALE,Biography not found
121,"Seth Powsner, MD",https://www.ynhhs.org/physicians/seth-powsner,Psychiatry,"Emergency Medicine, New Haven",YALE,Biography not found
122,"Areti Vassilopoulos, PhD",https://www.ynhhs.org/physicians/areti-vassilopoulos,Child & Adolescent Psychology,New Haven,YALE,Biography not found
123,"Eyiyemisi C. Damisah, MD",https://www.ynhhs.org/physicians/eyiyemisi-c-damisah,Neurological Surgery,New Haven,YALE,Biography not found
124,"Sarah K. Fineberg, MD, PhD",https://www.ynhhs.org/physicians/sarah-k-fineberg,"Psychiatry, Neurology",New Haven,YALE,Biography not found
125,"Hamada H. Altalib, DO",https://www.ynhhs.org/physicians/hamada-h-altalib,Neurology,"West Haven, New Haven",YALE,Biography not found
126,"Srinath Kadimi, MD",https://www.ynhhs.org/physicians/srinath-kadimi,"Psychiatry, Neurology, Internal Medicine, Vascular Neurology","Fairfield, Bridgeport, Milford",YALE,Biography not found
127,"Christy L. Olezeski, PhD",https://www.ynhhs.org/physicians/christy-l-olezeski,Pediatric Endocrinology,New Haven,YALE,Biography not found
128,"Lucilla C. Willingham, APRN",https://www.ynhhs.org/physicians/lucilla-c-willingham,Neurological Surgery,"Trumbull, Stamford, New Haven, Greenwich",YALE,Biography not found
129,"Lynelle M. Schneeberg, PsyD",https://www.ynhhs.org/physicians/lynelle-m-schneeberg,"Sleep Medicine, Internal Medicine","Madison, North Haven",YALE,Biography not found
130,"Craig Canapari, MD",https://www.ynhhs.org/physicians/craig-canapari,"Sleep Medicine, Pediatric Pulmonology, Pediatrics","Trumbull, Norwalk, Old Saybrook, New Haven",YALE,Biography not found
